kode_spec;nama_perangkat;noreg
B2WN01000434;RIVERBED CXA 770M;B2WN0100043400006
B2WS0100010I;LNB,C-BAND LS EXTD BAND ( PN - 1024573-0001 );B2WS0100010I11020
B2WS0100013X;TABLET FOR VSAT MOUNTING AUTO POINTING;B2WS0100013X00202
B2WS0100016P;TABLET FOR VSAT MOUNTING AUTO POINTING PAKARTEL;B2WS0100016P00062
B2WS0100016O;EMERGENCY CONTROL PAKARTEL;B2WS0100016O00042
B2WN0100042Q;RIVERBED CX255U;B2WN0100042Q00176
B2WS0100010I;LNB,C-BAND LS EXTD BAND ( PN - 1024573-0001 );B2WS0100010I07778
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020300616
B2WN0100044T;RIVERBED CX255P;B2WN0100044T00084
B2WS0100016P;TABLET FOR VSAT MOUNTING AUTO POINTING PAKARTEL;B2WS0100016PA0153
B2WS0100016P;TABLET FOR VSAT MOUNTING AUTO POINTING PAKARTEL;B2WS0100016PA0110
B2WS0100010I;LNB,C-BAND LS EXTD BAND ( PN - 1024573-0001 );B2WS0100010I03606
B2WS0100014N;CONTROLLER MOUNTING VSAT AUTO POINTING TYPE 2 PKTL;B2WS0100014N00029
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020300845
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020302945
B2WS0200023M;X1 SATELLITE ROUTER 90W KU/C;B2WS0200023MA0588
B2WS0200023M;X1 SATELLITE ROUTER 90W KU/C;B2WS0200023MA0621
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020300933
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020303571
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020300645
B2WN0100042Q;RIVERBED CX255U;B2WN0100042Q00122
B2WS0100016O;EMERGENCY CONTROL PAKARTEL;B2WS0100016OA0059
B2WS0100013X;TABLET FOR VSAT MOUNTING AUTO POINTING;B2WS0100013X00074
B2WS02A70203;EVOLUTION X1 SATELLITE ROUTER;B2WS02A7020302728
B2WS0200023M;X1 SATELLITE ROUTER 90W KU/C;B2WS0200023MA0591
B2WS0100016O;EMERGENCY CONTROL PAKARTEL;B2WS0100016O00021
B2WS0138052M;SWITCHING SYSTEM PAKARTEL;B2WS0138052MA0016
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0229
B4PK0O000201;KEYBOARD;B4PK0O00020100006
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0162
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0398
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0200
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00282
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00961
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0240
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0262
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0369
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0185
B2IS0113011B;IP PHONE YEALINK SIP-T23G;B2IS0113011B00005
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900148
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0008
B2WN0100040N;MODEM HSDPA;B2WN0100040N01487
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0019
B2WN0100040N;MODEM HSDPA;B2WN0100040N01478
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0217
B4PK07000116;IP PHONE;B4PK0700011600059
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0191
B2WN0100040N;MODEM HSDPA;B2WN0100040N01403
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0015
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900144
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900122
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0309
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0151
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0031
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0389
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0191
B1LT00000006;NOTEBOOK;B1LT0000000600445
B2WN0100040N;MODEM HSDPA;B2WN0100040N01160
B2WN0100040N;MODEM HSDPA;B2WN0100040N01429
B2WN0100040N;MODEM HSDPA;B2WN0100040N01475
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0338
B4PK0700011B;PROFESSIONAL IP PHONE;B4PK0700011B00211
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00249
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0017
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0333
B2IS0113011B;IP PHONE YEALINK SIP-T23G;B2IS0113011B00002
B2WN0100040N;MODEM HSDPA;B2WN0100040N01400
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0003
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0146
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0169
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00269
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00127
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0097
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900137
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900120
B4PK0700010S;ENTRY LEVEL IP PHONE;B4PK0700010S00185
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0002
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0223
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0272
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00262
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0283
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0348
B2WN0100040N;MODEM HSDPA;B2WN0100040N01346
B4PK07000116;IP PHONE;B4PK0700011600095
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0197
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0108
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0385
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0214
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R00246
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0085
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0027
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0061
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0056
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0036
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0361
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0410
B4PK0700011B;PROFESSIONAL IP PHONE;B4PK0700011B00094
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900141
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0085
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0362
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0277
B4PK0700010R;PROFESSIONAL IP PHONE;B4PK0700010R01074
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0036
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0134
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0030
B2WN0100040N;MODEM HSDPA;B2WN0100040N01328
B1AC04000009;KEYBOARD 104 USB;B1AC0400000900054
B4PK07000116;IP PHONE;B4PK0700011600011
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0317
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0140
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0249
B2WN0286099M;Cisco IP Phone 8851;B2WN0286099MA0057
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0379
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0011
B4PK0O000201;KEYBOARD;B4PK0O00020100007
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0111
B1AC04000003;KEYBOARD 104;B1AC0400000300535
B4PK07000116;IP PHONE;B4PK0700011600094
B2WN0231042K;CISCO IP PHONE 7821;B2WN0231042KA0147
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0083
B2WN02310440;CISCO IP PHONE 8845;B2WN02310440A0270
B3CD07000108;EATON MATRIX 2000 STAND ALONE INVERTER ( PN - INV-4820ESA );B3CD0700010800335
B2WN0231042T;CATALYST 2960-X 48 GIGE, 4 X 1G SFP, LAN BASE ( PN - C2960X-48TS-L );B2WN0231042T00069
B2WN0131048J;AC POWER SUPPLY FOR ISR 4320;B2WN0131048JA0011
B2WN0150039M;AC Power Supply for Cisco ISR 4330;B2WN0150039MA0094
B2WN0150039M;AC Power Supply for Cisco ISR 4330;B2WN0150039MA0034
B2WN0131048J;AC POWER SUPPLY FOR ISR 4320;B2WN0131048JA0020
B2WN0150107M;AC Power Supply for Cisco ISR 4320;B2WN0150107MA0177
B2WN01310411;CISCO CATALYST 3560 24 ETHERNET 10/100 PORTS AND 2 SMALL FORM-FACTOR PLUGGABLE (SFP) PORTS;B2WN0131041100031
B2WN0231042P;CATALYST 2960-X 24 GIGE POE 370W 4 X 1G SFP LAN BASE ( PN - WS-C2960X-24PS-L );B2WN0231042P00163
B2WN02310305;CATALYST CISCO 24 PORT;B2WN0231030500001M
B2WN02310415;CATALYST 3560V2 48 10/100 + 4SFP +IPB (STANDARD) IMAGE;B2WN0231041500007
B2WN0231042R;CISCO CATALYST 3850 24 PORT DATA IP SERVICES ( PN - WS-C3850-24T-E );B2WN0231042R00005
B2WN0131040W;CISCO 2811 W/ AC PWR,2FE,4HWICS;B2WN0131040W00208
B2WN01310410;CISCO CATALYST 2960 24 10/100 + 2 10/100/1000, LAN BASE IMAGE;B2WN0131041000038
B2WN01310478;CISCO 4321+WAAS;B2WN0131047800308
B2WN0131042L;CISCO 1921 MODULAR ROUTER,2GE 2 EHWIC IP BASE;B2WN0131042L00653
B2WN0131041N;CISCO1811/K9DUAL ETHERNET SECURITY ROUTER WITH V.92;B2WN0131041N00722
B2WN01310478;CISCO 4321+WAAS;B2WN0131047800281
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047K00117
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047K00541
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047K00841
B2WN0131042M;CISCO 2911 W/3 GE,4 EHWIC,2DSP,1SM,256MB CF,512MB DRAM,IPB;B2WN0131042M00160
B2WN01310422;CISCO SECURITY ROUTER CISCO 877 ( PN - CISCO 877 K-9 );B2WN0131042200668
B2WN01310477;CISCO 892FSP+WAAS ( PN - );B2WN0131047700134
B2WN0131042M;CISCO 2911 W/3 GE,4 EHWIC,2DSP,1SM,256MB CF,512MB DRAM,IPB;B2WN0131042M00358
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047K00324
B2WN0131042M;CISCO 2911 W/3 GE,4 EHWIC,2DSP,1SM,256MB CF,512MB DRAM,IPB;B2WN0131042M00294
B2WN0131042M;CISCO 2911 W/3 GE,4 EHWIC,2DSP,1SM,256MB CF,512MB DRAM,IPB;B2WN0131042M00580
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047K00170
B2WN0131047K;CISCO 892FSP 1GE;B2WN0131047KA0115
B2WN01310478;CISCO 4321+WAAS;B2WN0131047800105
B2WN01000462;ONT ISCOM HT-803G-07 ( PN - );B2WN01000462A1935
B2WN0262020T;SWITCH ISCOM 2624G,REDUNDANT AC POWER;B2WN0262020TA0089
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3193
B2WS03910203;DC-POE DEVICE, WITH 20VDC-60VDC POWER RADWIN;B2WS0391020300076
B2WN01000462;ONT ISCOM HT-803G-07 ( PN - );B2WN0100046202026
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0129
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00466
B2WN0150153M;ADAPTOR 12V 1A;B2WN0150153MA9372
B2WN0286773M;Optical Network Terminal ( ONT ) ISCOM5104G-GP-HB-07;B2WN0286773MA2606
B2WS0200141M;UBIQUITY UAP-nanoHD;B2WS0200141MA0427
B2WN01000440;ONT 4GE + 2 POST + WIFI (3RD PRTY CIG) ( PN - );B2WN0100044000707
B2WS0200068M;POE-48 24 W-G;B2WS0200068MA0592
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00010
B2WS0391308M;WIFI EnGenius EWS357-FIT;B2WS0391308MA0008
B2WS0200012F;MR 12-HW;B2WS0200012F00080
B2WS0200011R;ACCESS POINT AP UNIFY INDOOR;B2WS0200011R00002
B2WS0391178M;SUNDRAY  S372X Wireless Access Point;B2WS0391178MA0238
B2WS03000218;UBIQUITI UNIFI ACCESS POINT;B2WS0300021800101
B2WS0200012F;MR 12-HW;B2WS0200012F00088
B2WS0391178M;SUNDRAY  S372X Wireless Access Point;B2WS0391178MA0271
B2WS0200068M;POE-48 24 W-G;B2WS0200068MA0591
B2WN0100044F;WIRELESS ROUTER 3G/4G (TP-LINK);B2WN0100044F00002
B2WS03000218;UBIQUITI UNIFI ACCESS POINT;B2WS0300021800102
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00047
B2WS0200067M;UBIQUITY UAP-AC-PRO;B2WS0200067MA0592
B2WS0391308M;WIFI EnGenius EWS357-FIT;B2WS0391308MA0007
B2WS0200012F;MR 12-HW;B2WS0200012F00052
B2WS0200141M;UBIQUITY UAP-nanoHD;B2WS0200141MA0455
B2WS0200143M;POE UBIQUITY UAP-NANOHD;B2WS0200143MA0183B
B2WS0200012F;MR 12-HW;B2WS0200012F00074
B2WN0286125M;UNIFI UAP-AC-M-PRO;B2WN0286125MA1389
B2WS0200141M;UBIQUITY UAP-nanoHD;B2WS0200141MA0078
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00099
B2WS0200141M;UBIQUITY UAP-nanoHD;B2WS0200141MA0440
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00068
B2WS03000218;UBIQUITI UNIFI ACCESS POINT;B2WS0300021800103
B2WN01000440;ONT 4GE + 2 POST + WIFI (3RD PRTY CIG) ( PN - );B2WN0100044000166
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00130
B2WN0286011M;UAP AC PRO;B2WN0286011MB0002
B2WS0200067M;UBIQUITY UAP-AC-PRO;B2WS0200067MA0591
B2WS0200136M;Meraki MR36 Wi-Fi 6 Indoor AP;B2WS0200136MA0043
B2WS0200100M;Sundray PoE injector 30W  802.3at gigabit;B2WS0200100MA0184
B2WS05A0075M;HPE Aruba Networking AP-505 (RW) Dual Radio 2x2 802.11ax Internal Antennas Unified Campus AP;B2WS05A0075MA0361
B2WN01000440;ONT 4GE + 2 POST + WIFI (3RD PRTY CIG) ( PN - );B2WN0100044000167
B2WS0200143M;POE UBIQUITY UAP-NANOHD;B2WS0200143MA0196B
B2WN0100044I;TP-LINK TL-WR841N;B2WN0100044I00158
B2WS0200136M;Meraki MR36 Wi-Fi 6 Indoor AP;B2WS0200136MA0002
B2WS0200012F;MR 12-HW;B2WS0200012F00079
B2WS0200141M;UBIQUITY UAP-nanoHD;B2WS0200141MA0421
B2WN0286011M;UAP AC PRO;B2WN0286011MA0002
B2WN0200020Z;TP LINK OUTDOOR CPE ( PN - CPE210 );B2WN0200020Z00006
B2WS0200136M;Meraki MR36 Wi-Fi 6 Indoor AP;B2WS0200136MA0032
B2WS0200143M;POE UBIQUITY UAP-NANOHD;B2WS0200143MA0191B
B2WS0200012F;MR 12-HW;B2WS0200012F00062
B2WS0200012F;MR 12-HW;B2WS0200012F00078
B2WN0100044F;WIRELESS ROUTER 3G/4G (TP-LINK);B2WN0100044F00059
B2WS05A0075M;Aruba AP-505 (RW) Unified AP;B2WS05A0075MA0490
B2WN0286320M;MINI SWITCH HUB 5 PORT;B2WN0286320MA0004
B2WN02620103;MINI SWITCH HUB 10/100 8 PORT ( PN - );B2WN0262010300208
B2WN017V0108;ETHERNET SWITCH,16-PORTS,10/10;B2WN017V010800011
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0675
B2WS0200137M;BIVOCOM Industrial 4G Router 5 Ports, dual SIM, Wifi, Dual Modul;B2WS0200137MA0008
B2WN02620103;MINI SWITCH HUB 10/100 8 PORT ( PN - );B2WN0262010300236
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0532
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0701
B2WSBKA0138M;BIVOCOM Industrial 4G Router 5 Ports ,dual SIM, WIFI, Dual Modul;B2WSBKA0138MA0478
B2WN014I010H;MICRONET SP5018B VOIP FXS/FXO GATEWAY;B2WN014I010H00072
B2WN0150108M;POWER SUPPLY/ADAPTOR FOR GAZELLE R220I-VM-FL;B2WN0150108MA0401
B2WN014I010H;MICRONET SP5018B VOIP FXS/FXO GATEWAY;B2WN014I010H00097
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0995
B2WN01AH020K;RAISECOM 3G/4G ROUTER-DUAL SIM;B2WN01AH020KA0184
B2WN0131046P;PALO ALTO FIREWALL PA-3020;B2WN0131046PA0001
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0435
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0714
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0562
B2WN01AH020K;RAISECOM 3G/4G ROUTER-DUAL SIM;B2WN01AH020KA0176
B2WN01AH020K;RAISECOM 3G/4G ROUTER-DUAL SIM;B2WN01AH020KA0510
B2WN0150108M;POWER SUPPLY/ADAPTOR FOR GAZELLE R220I-VM-FL;B2WN0150108MA0043
B2WN0286853M;Palo Alto Networks PA-460 NFR Unit;B2WN0286853MA0003
B2WN014I010F;SP5018A VOIP FXS/FXO GATEWAY;B2WN014I010F00134
B2WN02620103;MINI SWITCH HUB 10/100 8 PORT ( PN - );B2WN0262010300364
B4RT0B00014V;AD-BOX CONTROLLER SIGNBOARD;B4RT0B00014V00009
B2WSBKA0138M;BIVOCOM Industrial 4G Router 5 Ports ,dual SIM, WIFI, Dual Modul;B2WSBKA0138MA0575
B2WSBKA0138M;BIVOCOM Industrial 4G Router 5 Ports ,dual SIM, WIFI, Dual Modul;B2WSBKA0138MA0844
B2WN017V0108;ETHERNET SWITCH,16-PORTS,10/10;B2WN017V010800021
B2WN0286934M;FAN FOR UfiSpace S9600 series;B2WN0286934MA0053
B2WN00A0294M;Service card, with 8 XG(S)-PON Combo interfaces, without SFP module.;B2WN00A0294MA0019
B2WN00A0294M;Service card, with 8 XG(S)-PON Combo interfaces, without SFP module.;B2WN00A0294MA0018
B2WN0286935M;OCNOS-SP-MPLS-2400-UfiSpace S9600-72XC-DC Power Supply;B2WN0286935MA0003
B2WN02A6030L;500W AC POWER SUPPLY WITH EXHAUST AIRFLOW FOR NI CE 2000 SERIES SWITCHES;B2WN02A6030LA0005
B2WN00A0294M;Service card, with 8 XG(S)-PON Combo interfaces, without SFP module.;B2WN00A0294MA0020
B2WN0286934M;FAN FOR UfiSpace S9600 series;B2WN0286934MA0023
B2WN0286934M;FAN FOR UfiSpace S9600 series;B2WN0286934MA0043
B2WN0286934M;FAN FOR UfiSpace S9600 series;B2WN0286934MA0033
